,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
Balochi_Iran_o,0.067725,0.079211,-0.092772,0.011467,-0.06355,0.019383,0.000235,0.000115,-0.026997,-0.022233,-0.003248,-0.003147,0.006467,-0.003509,0.007261,0.02254,-0.011539,0.005954,0.006034,-0.024949,-0.001123,-0.016322,-0.000185,-0.014641,0.008203
Balochi_Pakistan,0.068863,0.051876,-0.100628,0.030739,-0.072603,0.031491,0.005582,0.001577,-0.022736,-0.020805,-0.003884,-0.002148,0.003927,-0.008017,0.015958,0.030098,-0.010137,0.002924,0.007269,-0.026513,-0.001071,-0.015209,0.00037,-0.016097,0.013761
Balti,0.060933,-0.103313,-0.080427,0.049441,-0.055744,0.035363,0.003368,0.002646,-0.004199,-0.002503,-0.024813,-0.001998,0.002012,-0.009313,0.004587,0.006568,-0.001182,0.000557,-0.000955,-0.006203,-0.002063,0.003017,0.003106,-0.001117,0.00855
Balti_o,0.063741,-0.028435,-0.117662,0.078812,-0.074475,0.051037,-0.00047,-0.003692,0,-0.010205,-0.002436,0,0.002527,-0.017203,0.00285,0.005569,0.009779,-0.004054,-0.005154,-0.004252,0.001123,-0.000618,0,-0.00253,0.004191
Baniya_Gujarat,0.047806,-0.045699,-0.143306,0.112405,-0.080938,0.06275,-0.00047,0.007846,0.029656,0.018953,-0.001949,0.005395,-0.000149,-0.008533,-0.004479,0.008353,0.018906,-0.001394,0.004902,-0.003252,0.000998,-0.000989,0.007765,0.001807,-0.003353
Baniya_Punjab,0.044391,-0.055854,-0.150471,0.108852,-0.086478,0.058846,-0.000235,0.01523,0.040291,0.018406,-0.011854,-0.00015,0,-0.006331,0,-0.002652,-0.006389,-0.001267,-0.005405,-0.002251,-0.003494,-0.001237,-0.000246,0.003494,0.001437
Baniya_Uttar_Pradesh_Gupta,0.047806,-0.069056,-0.16895,0.13017,-0.079707,0.06526,0.001645,0.020076,0.05788,0.040639,-0.000162,0.008243,0.005203,0.005643,-0.015472,-0.021877,-0.011213,0.0019,0.012821,0.01038,0.016346,0.000989,0.021075,0.010604,-0.018441
Bantu_Kenya,-0.600986,0.062455,0.014708,0.01179,0.002,0.00753,-0.012338,0.026537,0.002966,-0.02442,-0.002355,0.013338,-0.032036,0.003303,-0.035287,0.025921,-0.015255,-0.004371,-0.015272,0.006003,0.00287,-0.005132,-0.00302,0.000361,0.002215
Bantu_S.E.,-0.629315,0.063753,0.020197,0.017837,-0.001163,0.009451,0.02935,-0.012999,-0.02143,0.011461,0.002418,-0.007793,-0.011199,0.002294,-0.009817,0.006364,-0.005186,0.060318,-0.024916,0.003474,-0.004187,-0.000989,0.002342,0.001004,-0.000439
Bantu_S.W.,-0.622287,0.065864,0.018425,0.016012,0.000615,0.00757,0.001444,0.008934,-0.027435,0.017286,0.002853,-0.004646,-0.003037,0.001966,-0.005157,0.004887,-0.00339,0.02179,-0.010684,0.003788,-0.001177,0.000459,0.001497,0.000241,-0.000547
Baoan,0.030542,-0.382448,0.00797,-0.045392,0.03017,0.014493,0.005233,0.002738,-0.009408,0.002108,-0.063234,-0.007473,0.006303,-0.00584,-0.005325,0.000367,0.000987,-0.000262,-0.005116,-0.003618,0.003797,0.011244,0.008989,-0.000329,0.010151
Bashkir,0.090508,-0.102306,0.06366,0.031758,-0.036166,-0.002987,0.008642,0.011166,-0.00764,-0.020081,0.00296,-0.004037,0.00985,-0.019303,-0.00503,-0.003007,-0.002616,-0.001063,-0.003301,-0.002562,-0.008348,0.0015,-0.002242,0.001376,-0.00185
Basque_Araba,0.127585,0.148545,0.059036,0.015798,0.053772,0.004386,-0.002414,0.004091,0.025417,0.038021,-0.006953,0.009632,-0.022069,-0.014951,0.015892,-0.000783,-0.007337,6.9e-05,4e-04,-0.004036,0.008973,0.001945,-0.004807,-0.006244,-0.000446
Basque_Baztan,0.131724,0.151591,0.059071,0.01198,0.057689,0.000811,-0.002927,0.003881,0.033635,0.041981,-0.005226,0.010981,-0.022583,-0.01709,0.01657,0.001278,-0.008214,0.000749,-0.000366,-0.007629,0.008406,-0.001034,-0.008874,-0.008062,0.00344
